"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","House of Marley Smile Jamaica in-Ear - Signature Black  ","Tim","Verified Purchase","Reviewed in Australia on 3 March 2024","4.6 out of 5 stars","        The Nokia Wireless Earbuds work a treat.  Comfortable, compact case and buds, stay in place with sports activity plus easy to set up and operate.No negatives found and a terrific price, so grab a pair is my advice.  "
"2","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,"5.0 out of 5 stars",NA
"3","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"4","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"5","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"6","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"7","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"8","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"9","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"10","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"11","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"12","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"13","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"14","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"15","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"16","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"17","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"18","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"19","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"20","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"21","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"22","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"23","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"24","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"25","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"26","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"27","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"28","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"29","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"30","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"31","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"32","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"33","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"34","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"35","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"36","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"37","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"38","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"39","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"40","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"41","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"42","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"43","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"44","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"45","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"46","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"47","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"48","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"49","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
"50","House of Marley Smile Jamaica in-Ear - Signature Black  ",NA,NA,NA,NA,NA
