"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Sony In-Ear Lightweight Headphones, White  ","Wayne N.","Verified Purchase","Reviewed in Australia on 13 June 2023","4.4 out of 5 stars","        Really surprised by the quality of these for the price. Bought 2 to test out and will probably buy more. Sound quality is excellent, and the range of flexible inserts helps to get a good fit. The detachable cable is a great idea as the cables and connectors tend to be the first to go. We are using them for in-ear monitors at our church and they have been well received by those who will be using them regularly.Was in contact with their support to get an actual invoice and their service was amazing, very responsive and thorough.Can highly recommend, based on our experience so far.  "
"2","Sony In-Ear Lightweight Headphones, White  ","Less than 2 months and the right ear has on and off hiss and crackle. That's unfortunate because they sound good for the price but I guess you get what you pay for with its durability","Verified Purchase","Reviewed in Australia on 11 January 2024","5.0 out of 5 stars","        Really amazing value for Money  "
"3","Sony In-Ear Lightweight Headphones, White  ","Wayne N.","Verified Purchase","Reviewed in Australia on 13 June 2023","3.0 out of 5 stars","        Don't fall out Very good audio quality  "
"4","Sony In-Ear Lightweight Headphones, White  ","Rohan P.","Verified Purchase","Reviewed in Australia on 13 October 2023","5.0 out of 5 stars","        I have bought 2 of these now, their amazing sounding IEMs for the price it will change how you listen to your music, also great for gaming. i have owned audio products from MONSTER, SONY and SKULLCANDY that cost 3-4 times more and still doesn't achieve the clarity and sensation of having a subwoofer in your head.  "
"5","Sony In-Ear Lightweight Headphones, White  ","M. Dean","Verified Purchase","Reviewed in Australia on 7 September 2023","5.0 out of 5 stars","        The quality of sound you get from these IEMs are suitable for monitoring in a live situation. I would get the comply foam tips to improve its isolation but it definitely punches above its weight in sound quality. I would 100% recommend them.The cable could be redesigned to include an adjuster for the Y connector. It is currently WAY too low on the cable.  "
"6","Sony In-Ear Lightweight Headphones, White  ","Zac","Verified Purchase","Reviewed in Australia on 8 March 2023","5.0 out of 5 stars","      J'ai acheté récemment les kz zsn pro et je dois dire que je ne suis pas déçu.Un packaging épuré comprenant les écouteurs et le câble deconnectable pour éventuellement le remplacer par un câble bluetooth ou un autre cable.Une qualité sonore vraiment excellente surtout par rapport au prix des écouteurs. (Ils n'auraient vraiment pas à rougir devant des écouteurs plus haut de gamme )Les écouteurs sont également tes beaux et très confortable et ce malgré le fait que mes oreilles aient une forme particulière qui me pose habituellement quelques soucis avec les écouteurs. Une fois fixé à l'oreille, ils tiennent en place et isole bien du bruit une fois la musique lancée.Pour ce qui est de la durabilité,  je devrais attendre de les avoir utilisé plus pour juger mais le fait que l'on puisse racheter un autre câble de remplacement permet d'apporter une certaine durabilité en replacent juste cette partie à moindre prix.Je suis pour le moment vraiment content de mon achat.    "
"7","Sony In-Ear Lightweight Headphones, White  ","Matt Soup","Verified Purchase","Reviewed in Australia on 10 July 2020","5.0 out of 5 stars","        This is my first IEM, so I do not have another IEM to reference and compare this musical apparatus to, but it definitely beats your standard earphone in sound quality and price! The build quality is impressive for the price as well. Lows could have been a bit more prominated, and the highs can be a little too penetrating. But don't allow those minor inconveniences to disway you from purchasing one. A great budget friendly IEM to step you into the world of how music should really sound.  "
"8","Sony In-Ear Lightweight Headphones, White  ","Clément","Verified Purchase","Reviewed in France on 20 June 2019","5.0 out of 5 stars","      Sempre que preciso de fones eu pego esses. Recomendo demais. Som dele é maravilhoso, melhor que todo fone sem fio por aí e o precinho tá bom mesmo. Só demora demais para chegar, mas normal pelo preço.    "
"9","Sony In-Ear Lightweight Headphones, White  ","Clément","Verified Purchase","Reviewed in the United Kingdom on 10 March 2021","5.0 out of 5 stars","      Ne vous attendez pas à une qualité de son de ouf, mais pour le prix d’une conviennent parfaitement    "
"10","Sony In-Ear Lightweight Headphones, White  ","Amazon Customer","Verified Purchase","Reviewed in Brazil on 22 August 2023","5.0 out of 5 stars","        This in-ear-Headphone is really awesome it’s a purchase where I call it value for money . In terms of sound quality this has clean bass and when I connected with pro- mixer it’s really nice “Clean Bass” and has good noise canceling feature which will be used for cueing purposes 👌.Strongly recommend this product since I have tried it today .RegardsVijay ( 🎧 DJVJ)  "
